+proj=utm +zone=11 +ellps=WGS84 +datum=WGS84 +units=m +no_defs	
235266 3811210
13.467 -6.53472 15.1038
2.07377 3.13143 24.9952
2.1447 -6.76223 24.8513
19.4188 -11.6693 19.282
12.4198 -10.5075 20.0414
-7.68013 1.93838 25.7495
13.2364 -6.73308 20.9361
2.59239 5.20302 26.5084
7.21393 -10.293 22.7022
0.361412 10.2433 27.3777
-14.9279 15.0075 26.3124
11.8908 -10.715 19.8501
12.0385 -0.157581 26.0521
-1.80228 -5.54628 26.6854
-12.8908 20.3802 23.5585
14.922 -7.18893 17.4254
-4.88133 14.9628 24.2615
-0.452715 11.2805 27.5706
16.6431 -9.2984 20.5897
7.44654 2.21432 31.4992
10.8736 -6.74521 11.8219
8.91494 2.15339 30.3093
13.8387 -3.57536 24.0729
6.31057 1.75179 31.1926
2.07377 3.13143 24.9952
6.23294 -7.62658 24.7009
10.8022 0.713805 26.8601
-18.398 18.8568 23.8479
-12.4988 10.8472 26.6613
-3.80241 13.8365 23.9363
-10.0807 16.4891 23.7644
-14.3439 20.3596 23.8969
13.7179 -10.529 20.9259
-5.2696 -0.280727 27.3842
2.74506 6.10564 26.1786
2.07377 3.13143 24.9952
-7.49816 16.0581 23.3242
15.109 -7.4661 17.6062
-15.947 15.5262 25.6204
3.12406 4.22542 26.8969
-1.10998 12.8329 26.3137
